subaddiejoy                        0x801C6620
subaddielink                       0x801E4790
subaddiemarker                     0x801E4790
subaddiemulti                      0x801C6620
subaddiepalette                    0x801C6620
subaddierouteDll                   0x801D4420
subaddiesect                       0x801E4790
subaddieskeleton                   0x801E4790
subaddiestore                      0x80191C00
subaddietaxi                       0x80191C00
subaddievolume                     0x801C5860
subaddiezone                       0x801E4790
suchase                            0x801E4790
sucoasterfly                       0x801C0110
sucoasterflydata                   0x801C6620
sucoasterhit                       0x801BD0D0
sucoasterplayer                    0x801C5860
sudeathmatch                       0x801C6620
sudeflect                          0x80191C00
sudialog                           0x801E4790
suegg                              0x80191C00
sueggmisc                          0x801E4790
sueggmove                          0x801C6620
suexpression                       0x801A6800
suexpressjoint                     0x8019B940
suexpressmorph                     0x801D4420
sufade                             0x801E4790
suflamefx                          0x801C6620
sufreezy                           0x801C6620
suinv                              0x801E4790
sukickball                         0x801A6800
sulights                           0x801BD0D0
sumissilehome                      0x801C6620
sumole                             0x801C0110
sumultiscore                       0x801D4420
sumumbofx                          0x801D4420
suquiz                             0x801A6800
surestart                          0x801E4790
susplinet                          0x801D4420
susubgame                          0x801C5860
sutempleboss                       0x801E4790
trangler                           0x801E4790
vpflicker                          0x801C6620
vpglow                             0x801C6620
vplight                            0x801C5860
vpmodule                           0x801C5860
vpscroll                           0x801E4790
vpwibble                           0x801C5860
chcablecar                         0x80191C00
bsmumswim                          0x801BD0D0
badata                             0x801C0110
bapreload                          0x801E69E0
basetup                            0x801DF710
batimer                            0x801C07F0
bsbbilldrill                       0x8022CAD0
bsbeefly                           0x801DB970
bsbfly                             0x801C7410
bsrest                             0x80224770
bssplitup                          0x802033C0
capod                              0x801D19E0
chbaddieDll                        0x80229730
chbaddiesetup                      0x802293E0
chcheatomenu                       0x801C5860
chcoderoombits                     0x801D4420
chflysaucer                        0x8020F8C0
chfootwear                         0x801C53B0
chgameselect                       0x801ADB90
chgruntylairexttowerwindow         0x801E4790
chintrotext                        0x801A03C0
chjinjo                            0x801AAB00
chklungo                           0x801BBFB0
chklungospiral                     0x8020F7F0
chlagoonlockerdoorhits             0x801A12A0
chmadamegrunty                     0x801A9E80
chmoley                            0x80294260
chmusicmenu                        0x80216CB0
chskeletonexplode                  0x801EBDF0
chweather                          0x801A1170
chwitchytents                      0x801AB4C0
cosection                          0x80191900
cosectionstor                      0x80212D00
cothemedll                         0x802067A0
fxrain                             0x801C8320
gcfrontend                         0x80191C00
gcgame                             0x801949F0
gcgoto                             0x801CCBB0
gclevel                            0x80193450
gcnewpause                         0x801BCBE0
gcsectionDll                       0x801C5860
gcsectionskip                      0x80226530
gctransitionDll                    0x801AF210
gemarkersDll                       0x802299F0
glcutDll                           0x802033B0
glglobalsettings                   0x801C5860
glsavegame                         0x802B5410
gspropctrl                         0x801A1980
gspropsDll                         0x801A33A0
gzreg                              0x801C4AA0
ncbapivot                          0x801CDD50
ncpod                              0x8021BC00
ncstart                            0x802D9060
sucoaster                          0x8020E160
sucoasterdata                      0x80215500
sujiggy                            0x801A7CC0
bsdrone                            0x801E21D0
bsdronevanish                      0x801C5860
bsdronexform                       0x801D4420
bskazdie                           0x801C6620
badrone                            0x801A7AD0
bababykaz                          0x8021EE60
baduo                              0x8024F390
